feature,coef_abs_promedio
ratio_vi_hum_log_sc,2.2055578821771085
NDMI_sc,1.970588764855312
PC7,1.9154606198146142
PC6,1.819485132515157
FA2,1.668733275370637
PC5,1.6255390107538814
NDMI_roll3_sc,1.4738941332379738
FA1,1.2223570585755048
NDVI_sc,1.1127459197801006
PC1,0.9333275545130485
NDWI_proxy_sc,0.9099350303106876
NDVI_roll3_sc,0.8791193374660761
PC2,0.7156014444568614
NDVI_lag1_sc,0.6177401827596696
PC9,0.5412368558604849
FA3,0.5287959663897119
mes_sin_sc,0.4886457377744062
image_count_sc,0.43285159967462766
NDMI_delta_yj_sc,0.3916760946942844
NDVI_lag2_sc,0.39046900607431095
PC4,0.3871610651932163
PC8,0.3418229361904818
lat_kml_sc,0.2967349911737789
NDMI_lag2_sc,0.2597409998869542
FA4,0.22118377847494997
lon_kml_sc,0.199048136790283
NDVI_delta_yj_sc,0.1904651529766687
FA5,0.1639794193239543
PC3,0.15388563980838368
mes_cos_sc,0.10044281822810895
