model,feature_set,split,accuracy,balanced_accuracy,f1_macro,recall_macro,recall_severo,mcc,auc_ovr
Dummy_stratified,all_numeric,train,0.582,0.33014639639639637,0.3301733667813631,0.33014639639639637,0.08666666666666667,-0.008022746022072485,0.49629759108925775
Dummy_stratified,all_numeric,test,0.613,0.34564102564102567,0.3436007715508058,0.34564102564102567,0.11,0.02241948705629333,0.5107455969955971
Dummy_most_frequent,all_numeric,train,0.74,0.3333333333333333,0.2835249042145594,0.3333333333333333,0.0,0.0,0.5
Dummy_most_frequent,all_numeric,test,0.78,0.3333333333333333,0.29213483146067415,0.3333333333333333,0.0,0.0,0.5
LogisticRegression,all_numeric,train,0.9903333333333333,0.9951013513513512,0.9875359375803923,0.9951013513513512,1.0,0.9773790183622995,0.9999507107840442
LogisticRegression,all_numeric,test,0.993,0.9888461538461538,0.9845941668189152,0.9888461538461538,0.98,0.9811518177166818,0.9998830192955191
LogisticRegression,selected_scaled,train,0.9873333333333333,0.9932057057057057,0.9834246592284203,0.9932057057057057,1.0,0.9705514923754779,0.9998838719672053
LogisticRegression,selected_scaled,test,0.991,0.987991452991453,0.9815421240970038,0.987991452991453,0.98,0.9759172657099955,0.999818427868428
LogisticRegression,pca_fa,train,0.988,0.993506006006006,0.9842235561322079,0.993506006006006,1.0,0.9720517479403626,0.9998931090125535
LogisticRegression,pca_fa,test,0.993,0.9888461538461538,0.9845941668189152,0.9888461538461538,0.98,0.9811518177166818,0.9998530303030302
LogisticRegression,no_direct_ndmi,train,0.9853333333333333,0.9923048048048049,0.9810426485007531,0.9923048048048049,1.0,0.9660824341808736,0.9997619685925242
LogisticRegression,no_direct_ndmi,test,0.985,0.9807264957264957,0.9694772671169352,0.9807264957264957,0.98,0.9602540018694321,0.9993492488992489
RandomForest,all_numeric,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,all_numeric,test,0.997,0.9905555555555555,0.9922700807095054,0.9905555555555555,0.98,0.9918244043517565,0.9999083333333334
RandomForest,selected_scaled,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,selected_scaled,test,0.997,0.9905555555555555,0.9922700807095054,0.9905555555555555,0.98,0.9918244043517565,0.999923569023569
RandomForest,pca_fa,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,pca_fa,test,0.967,0.905940170940171,0.9196701482438584,0.905940170940171,0.83,0.9092036222498289,0.9966834919709919
RandomForest,no_direct_ndmi,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,no_direct_ndmi,test,0.966,0.9333333333333332,0.9273199667377615,0.9333333333333332,0.95,0.9083304726846065,0.9957016446516446
