feature,importance_mean,importance_std
NDMI_sc,0.1438526742888901,0.011812048139941269
PC7,0.11315250325749741,0.005569454888463184
ratio_vi_hum_log_sc,0.09900303808065003,0.008934389799399034
NDMI_roll3_sc,0.09281691704625872,0.012945099955616287
PC5,0.09266831159542648,0.00997533691076667
PC6,0.08404845594926535,0.010921175726109986
FA1,0.07342261803482594,0.009746250434256499
FA2,0.06652694275942489,0.01110803223578507
NDVI_sc,0.06312574145803576,0.009174952480074229
PC1,0.050173792470507905,0.006811083963386975
NDVI_roll3_sc,0.04363873872612007,0.00725744952919913
NDWI_proxy_sc,0.03074749813933067,0.006127055134135101
mes_sin_sc,0.020417342766597207,0.0055828702923787984
NDVI_lag1_sc,0.018771622183011778,0.005172606702937188
PC2,0.017721048828706183,0.008406210199295962
PC9,0.016006204238913163,0.007271360030377228
image_count_sc,0.013057472177134617,0.0044117715447229856
NDMI_delta_yj_sc,0.01131315459254172,0.0046198310890368036
NDVI_lag2_sc,0.010774000646761378,0.004241379760119308
PC8,0.010164483433627058,0.003827773517742056
FA3,0.009035813361793616,0.0037476532476941396
PC4,0.008301749661983193,0.004815186065836859
NDMI_lag2_sc,0.006743224510795126,0.004676382501552438
lat_kml_sc,0.003959921225105722,0.004082300037430578
FA4,0.0031132269235404518,0.0022580282945828473
lon_kml_sc,0.002067399870833142,0.001997186942399116
NDVI_delta_yj_sc,0.0015177251702528705,0.0022625066083994862
FA5,0.0009154813283010765,0.0036193611793846345
PC3,0.0002314339208502214,0.0012196310543567863
mes_cos_sc,-7.918892903219788e-05,0.001028047005842439
