parcela,num,lon,lat,altitud_kml,dist_vecino_m,cuadrante,bbox_west,bbox_east,bbox_south,bbox_north
H1,1,-103.4874704375219,19.66316440676028,0.0,594.7192719417184,NE,-103.48837043752191,-103.4865704375219,19.66226440676028,19.664064406760282
H2,2,-103.4916814554342,19.65958480327006,0.0,594.7192719417184,NE,-103.4925814554342,-103.4907814554342,19.65868480327006,19.660484803270062
H3,3,-103.495946402958,19.64923190063498,0.0,267.2204830777435,NO,-103.496846402958,-103.495046402958,19.64833190063498,19.65013190063498
H4,4,-103.4934247600402,19.64892797006392,0.0,267.2204830777435,NE,-103.4943247600402,-103.4925247600402,19.648027970063918,19.64982797006392
H5,5,-103.4905412268389,19.64768676086755,0.0,272.5761069361056,NE,-103.4914412268389,-103.4896412268389,19.64678676086755,19.648586760867552
H6,6,-103.4931777628067,19.64498379789444,0.0,173.09207871085135,NE,-103.4940777628067,-103.4922777628067,19.64408379789444,19.64588379789444
H7,7,-103.4907449690666,19.64523781970015,0.0,195.78568095409042,NE,-103.4916449690666,-103.4898449690666,19.644337819700148,19.64613781970015
H8,8,-103.4919779953152,19.64391544066743,0.0,119.06385884058884,NE,-103.4928779953152,-103.4910779953152,19.64301544066743,19.644815440667433
H9,9,-103.4923312690368,19.64289593962869,0.0,119.06385884058884,NE,-103.4932312690368,-103.4914312690368,19.64199593962869,19.643795939628692
H10,10,-103.4935692151058,19.64326268753868,0.0,136.35581920589266,NO,-103.4944692151058,-103.49266921510579,19.64236268753868,19.64416268753868
H11,11,-103.4910115238732,19.63699143780181,0.0,589.4437809030748,NE,-103.4919115238732,-103.4901115238732,19.63609143780181,19.637891437801812
H12,12,-103.4866375453042,19.6423261120543,0.0,344.70014864660305,NE,-103.4875375453042,-103.4857375453042,19.641426112054297,19.6432261120543
H13,13,-103.4859554790877,19.63928751073353,0.0,344.70014864660305,NE,-103.48685547908771,-103.4850554790877,19.63838751073353,19.640187510733533
H14,14,-103.4783889889258,19.63810334260486,0.0,496.64717373514134,NE,-103.4792889889258,-103.4774889889258,19.63720334260486,19.639003342604862
H15,15,-103.4860570044078,19.63304594879294,0.0,606.3104276239468,NE,-103.4869570044078,-103.4851570044078,19.63214594879294,19.63394594879294
H16,16,-103.4780586924613,19.63363829304725,0.0,496.64717373514134,NE,-103.4789586924613,-103.4771586924613,19.63273829304725,19.634538293047253
H17,17,-103.4740222414965,19.64350681735759,0.0,313.31394479966633,NE,-103.4749222414965,-103.4731222414965,19.64260681735759,19.64440681735759
H18,18,-103.4727003353048,19.64603762240055,0.0,313.31394479966633,NE,-103.4736003353048,-103.47180033530479,19.645137622400547,19.64693762240055
H19,19,-103.4660382865516,19.64471242055359,0.0,313.08743661180796,NE,-103.4669382865516,-103.46513828655159,19.643812420553587,19.64561242055359
H20,20,-103.463262682718,19.64573564260593,0.0,313.08743661180796,NE,-103.464162682718,-103.462362682718,19.64483564260593,19.646635642605933
H21,21,-103.4659894961305,19.64156668442107,0.0,349.0764460829761,NE,-103.4668894961305,-103.4650894961305,19.640666684421067,19.64246668442107
H22,22,-103.466659499049,19.63841324577597,0.0,356.9123971941133,NE,-103.467559499049,-103.465759499049,19.637513245775967,19.63931324577597
H23,23,-103.4600574738049,19.64582256330241,0.0,337.07409106844256,NE,-103.4609574738049,-103.4591574738049,19.64492256330241,19.64672256330241
H24,24,-103.4659597724037,19.63458571520362,0.0,411.4872419864137,NE,-103.46685977240371,-103.4650597724037,19.63368571520362,19.63548571520362
H25,25,-103.4698151940444,19.6352254903721,0.0,311.72659821110886,NE,-103.4707151940444,-103.4689151940444,19.6343254903721,19.636125490372102
